model_name,win,time,final_robot_position,goal_position
PPO,0,4.2107,"(1.9272, 1.5178)","(0.5817, 0.3173)"
PPO,0,2.0817,"(1.5022, 0.0746)","(0.0785, 1.3422)"
PPO,0,0.7918,"(1.6111, 1.543)","(0.5904, 0.9726)"
PPO,0,0.9793,"(1.5936, 0.0738)","(0.2918, 0.709)"
PPO,0,0.2903,"(0.0983, 0.1662)","(1.0806, 0.8007)"
PPO,1,0.7954,"(0.225, 0.5536)","(0.1266, 0.6535)"
PPO,0,4.2806,"(0.4029, 1.9269)","(1.9183, 1.1705)"
PPO,0,14.4992,"(1.7219, 0.4661)","(0.7346, 1.6164)"
PPO,0,0.001,"(0.5211, 0.5645)","(0.1524, 0.2253)"
PPO,0,5.9612,"(1.9274, 1.5723)","(1.5011, 0.9293)"
PPO,0,1.02,"(1.2016, 1.5696)","(0.9074, 0.6815)"
PPO,0,4.5247,"(1.1889, 0.0733)","(1.1789, 1.6381)"
PPO,0,1.4439,"(0.0729, 0.3966)","(0.6147, 1.1995)"
PPO,0,4.3506,"(1.9269, 1.5525)","(1.6953, 0.8819)"
PPO,0,1.5736,"(1.1704, 0.6199)","(0.5894, 0.445)"
PPO,1,6.9018,"(1.6975, 0.4274)","(1.7186, 0.5268)"
PPO,0,0.3046,"(1.4606, 0.3234)","(1.4027, 1.0191)"
PPO,0,0.0694,"(1.3781, 0.6071)","(0.4553, 0.7862)"
PPO,0,12.5931,"(1.7724, 0.9041)","(1.0913, 1.9389)"
PPO,0,0.0011,"(1.4367, 1.214)","(0.6742, 1.3125)"
PPO,0,2.0253,"(0.8894, 1.9266)","(0.4199, 1.9341)"
PPO,0,2.0868,"(1.9272, 1.5255)","(0.8615, 0.9591)"
PPO,1,0.1755,"(1.7914, 0.8365)","(1.7593, 0.7376)"
PPO,0,1.3566,"(1.1582, 0.6197)","(0.6971, 0.7111)"
PPO,0,0.2376,"(1.3719, 0.6195)","(1.8299, 0.2352)"
PPO,0,13.4762,"(0.6762, 1.7781)","(1.2984, 1.317)"
PPO,0,0.0083,"(0.5095, 1.3519)","(0.0556, 0.8668)"
PPO,0,0.0052,"(0.097, 0.155)","(1.419, 0.9911)"
PPO,0,0.0243,"(1.6491, 1.3395)","(1.4128, 0.4763)"
PPO,0,3.5021,"(0.548, 1.0164)","(1.5903, 0.082)"
PPO,0,4.464,"(0.3992, 1.9265)","(0.1354, 0.9827)"
PPO,0,1.932,"(1.9024, 1.8891)","(0.9938, 0.6528)"
PPO,0,0.48,"(1.9006, 1.884)","(1.1697, 0.7192)"
PPO,0,1.5162,"(1.926, 1.2519)","(1.2164, 1.1445)"
PPO,0,13.0023,"(0.2225, 0.6302)","(0.9054, 1.044)"
PPO,0,1.9251,"(1.3226, 0.0727)","(0.9274, 0.2453)"
PPO,0,0.5439,"(1.6458, 0.461)","(0.1169, 0.0526)"
PPO,0,1.8596,"(0.9426, 0.4529)","(0.8791, 1.0014)"
PPO,0,0.0006,"(0.4682, 0.0635)","(0.8461, 0.5195)"
PPO,0,5.4505,"(0.0744, 0.4028)","(0.4739, 0.4716)"
PPO,0,0.0056,"(0.7955, 1.3837)","(1.8486, 0.9199)"
PPO,0,2.1352,"(0.0724, 0.8986)","(0.9689, 1.7556)"
PPO,0,0.362,"(0.56, 1.9038)","(0.9232, 1.7883)"
PPO,0,1.2209,"(0.9477, 0.435)","(1.3146, 0.4728)"
PPO,0,0.7032,"(0.0731, 0.7893)","(0.7146, 1.0913)"
PPO,0,1.0709,"(0.0743, 0.6492)","(1.2989, 1.7401)"
PPO,0,0.5351,"(0.6381, 1.2702)","(0.4179, 1.6665)"
PPO,0,0.9812,"(0.5063, 0.9784)","(1.1948, 1.0324)"
PPO,0,0.0006,"(0.5909, 1.2065)","(0.8809, 1.224)"
PPO,0,0.6921,"(0.8676, 1.2709)","(1.6253, 1.1792)"
PPO,0,2.3826,"(0.8286, 1.2709)","(0.06, 1.3507)"
PPO,0,4.5773,"(1.9266, 1.5476)","(1.9437, 0.0968)"
PPO,0,0.0007,"(0.6923, 1.5145)","(1.403, 1.8374)"
PPO,0,6.9625,"(0.2242, 1.0459)","(1.4302, 1.2014)"
PPO,1,0.0006,"(0.3418, 0.6747)","(0.2731, 0.7024)"
PPO,0,0.0005,"(0.9701, 0.0548)","(1.3913, 1.52)"
PPO,0,9.5278,"(0.5156, 1.7972)","(0.0594, 0.2288)"
PPO,0,0.0015,"(0.7139, 0.4755)","(1.3769, 0.8317)"
PPO,0,1.4554,"(0.1219, 1.906)","(1.8642, 1.239)"
PPO,0,0.0015,"(1.6197, 1.2303)","(1.751, 1.068)"
PPO,1,6.514,"(1.7218, 0.4455)","(1.7154, 0.5449)"
PPO,0,0.0952,"(1.1823, 1.2709)","(0.2477, 0.8215)"
PPO,0,0.0015,"(0.7717, 1.3132)","(1.2246, 1.8599)"
PPO,0,0.0012,"(1.3508, 0.3551)","(1.5677, 1.8598)"
PPO,0,0.5187,"(0.2914, 1.9272)","(0.7288, 0.6033)"
PPO,0,7.8349,"(0.9753, 0.2128)","(1.164, 0.835)"
PPO,1,2.5887,"(1.872, 1.1571)","(1.8083, 1.0576)"
PPO,1,1.0942,"(0.5379, 0.0995)","(0.6372, 0.0666)"
PPO,0,0.096,"(0.4876, 1.0179)","(0.7614, 1.1447)"
PPO,0,5.4712,"(1.9267, 1.5745)","(1.0805, 1.8603)"
PPO,0,8.3506,"(0.2111, 0.8174)","(1.8861, 0.9294)"
PPO,0,0.0903,"(0.6261, 0.0994)","(0.713, 1.1237)"
PPO,1,1.0243,"(0.212, 0.5546)","(0.1725, 0.4549)"
PPO,0,3.8202,"(1.1702, 0.0731)","(0.122, 1.0136)"
PPO,0,0.1104,"(0.5295, 0.8156)","(0.6219, 0.1925)"
PPO,0,0.0103,"(1.4566, 1.4553)","(0.845, 1.2788)"
PPO,1,0.2347,"(1.2843, 0.1251)","(1.1845, 0.1514)"
PPO,1,2.73,"(0.7484, 0.2334)","(0.8475, 0.2834)"
PPO,0,3.612,"(1.9272, 1.0518)","(0.182, 1.36)"
PPO,0,1.5546,"(1.1246, 0.6149)","(1.8657, 1.8318)"
PPO,0,0.6346,"(1.1386, 0.6186)","(1.4956, 0.1663)"
PPO,0,11.3484,"(0.2847, 1.5512)","(1.1177, 1.8791)"
PPO,0,1.7921,"(1.5711, 0.8349)","(1.151, 0.3728)"
PPO,0,0.0016,"(0.6045, 1.2058)","(0.4432, 0.1395)"
PPO,0,1.3812,"(0.0947, 0.1166)","(0.3477, 1.4062)"
PPO,0,1.9652,"(0.0918, 0.1075)","(0.9949, 0.5745)"
PPO,0,0.8362,"(1.3355, 1.5458)","(1.7773, 0.6151)"
PPO,0,0.6695,"(0.0981, 0.1038)","(1.5075, 0.874)"
PPO,0,1.2215,"(0.9463, 0.459)","(0.6022, 0.8499)"
PPO,0,11.0935,"(1.3329, 1.7392)","(1.4877, 0.6288)"
PPO,0,0.002,"(1.5363, 1.2867)","(0.4145, 1.9048)"
PPO,0,3.4634,"(0.4104, 1.9269)","(0.4934, 0.3086)"
